s.no,cpu_times_user,cpu_times_nice,cpu_times_system,cpu_times_idle,cpu_times_iowait,cpu_times_irq,cpu_times_softirq,cpu_times_steal,cpu_times_guest,cpu_times_guest_nice,cpu_percent,cpu_count,cpu_stats_ctx_switches,cpu_stats_interrupts,cpu_soft_interrupts,cpu_syscalls,cpu_freq,cpu_loadavg,virtual_mem_total,virtual_mem_available,virtual_mem_percent,virtual_mem_used,virtual_mem_free,virtual_mem_active,virtual_mem_inactive,virtual_mem_buffers,virtual_mem_cached,virtual_mem_shared,virtual_mem_slab,swap_mem_total,swap_mem_used,swap_mem_free,swap_percent,swap_sin,swap_sout,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_read_merged_count,disk_write_merged_count,disk_busy_count
55,330.77,10.83,29.5,7842.73,193.34,0,0.54,0,0,0,1,1,2643251,1066383,347750,0,2592,0.21,2072051712,805408768,61.1,1088909312,543371264,439181312,898097152,26247168,413523968,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15376,2158620160,1282003968,477513,455590,19467,121677,265816
56,330.78,10.83,29.5,7844.71,193.34,0,0.54,0,0,0,1,1,2643667,1066595,347808,0,2592,0.21,2072051712,805408768,61.1,1088909312,543371264,439181312,898097152,26247168,413523968,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15376,2158620160,1282003968,477513,455590,19467,121677,265816
57,330.79,10.83,29.5,7846.69,193.34,0,0.54,0,0,0,1,1,2644078,1066810,347876,0,2592,0.19,2072051712,805408768,61.1,1088909312,543371264,439181312,898097152,26259456,413511680,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15378,2158620160,1282057216,477513,455842,19467,121688,266072
58,330.81,10.83,29.5,7848.42,193.59,0,0.54,0,0,0,2,1,2644479,1067032,347942,0,2592,0.19,2072051712,805408768,61.1,1088897024,543371264,439181312,898097152,26259456,413523968,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15378,2158620160,1282057216,477513,455842,19467,121688,266072
59,331.52,10.83,29.51,7849.69,193.59,0,0.54,0,0,0,72,1,2645521,1067649,348063,0,2592,0.26,2072051712,875872256,57.7,1018445824,613822464,439193600,802549760,26259456,413523968,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15378,2158620160,1282057216,477513,455842,19467,121688,266072
60,332.98,10.83,29.52,7850.22,193.59,0,0.54,0,0,0,47,1,2648772,1067988,348148,0,2592,0.26,2072051712,875872256,57.7,1018437632,613822464,439193600,802549760,26267648,413523968,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15380,2158620160,1282073600,477513,455845,19467,121690,266076
61,332.99,10.83,29.52,7852.19,193.6,0,0.54,0,0,0,1,1,2649168,1068176,348205,0,2592,0.26,2072051712,875872256,57.7,1018429440,613822464,439193600,802549760,26267648,413532160,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15380,2158620160,1282073600,477513,455845,19467,121690,266076
62,333.01,10.83,29.53,7854.17,193.6,0,0.54,0,0,0,3,1,2649601,1068422,348275,0,2592,0.24,2072051712,875872256,57.7,1018429440,613822464,439193600,802549760,26267648,413532160,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15380,2158620160,1282073600,477513,455845,19467,121690,266076
63,333.02,10.83,29.53,7856.15,193.6,0,0.54,0,0,0,1,1,2650015,1068659,348347,0,2592,0.24,2072051712,875872256,57.7,1018425344,613822464,439193600,802549760,26275840,413528064,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15382,2158620160,1282085888,477513,455848,19467,121691,266080
64,333.04,10.83,29.53,7858.12,193.6,0,0.54,0,0,0,2,1,2650424,1068885,348413,0,2592,0.22,2072051712,875900928,57.7,1018417152,613822464,439209984,802586624,26275840,413536256,26030080,89796608,470282240,424259584,46022656,90.2,40775680,495980544,59522,15382,2158620160,1282085888,477513,455848,19467,121691,266080
